question	answer	label
Elsalam Alikom every one Any one know about qatar petroleum technical site interview process ( 2days visit) as i recive the visit visa and they ask me for the earlist date to attand and also how much does it take to decide the day of interview ?? Many thanks	If you have been invited for interview in Doha; it's likely (in my opinion) that you will be made an offer. The two days will allow enough time for you to undergo a medical; meet other staff/management; have a look around Doha; at housing available etc. Good luck.	2
Elsalam Alikom every one Any one know about qatar petroleum technical site interview process ( 2days visit) as i recive the visit visa and they ask me for the earlist date to attand and also how much does it take to decide the day of interview ?? Many thanks	the interviewing department will endorse their evaluation about you to HR. If positive; HR will send you offer letter.. after you have accepted and agreed the offer; you need to wait 2-3 months (sometimes longer than this period) for visa processing and wait for your schedule of mobiization.	2
I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	Yes there are; though it varies depending on which country you come from. In the UK; the doctor has a list of all countries and the vaccinations needed for each. I'll imagine they have the same in the US.	1
I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	I suggest going to visit your local GP and mention that you are moving to Qatar. They should have in their system what shots you need before coming over. It is usually for hepatitis and thyfoid i think (please excuse the spelling)	1
I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	It depends what you have had already. You don't specifically need any extra vaccinations as long as you are up to date with the usual ones you have in the UK (not sure about US) but you can have Rabies as optional if you want. Although there is no requirement or need to have any extra protection here; it is important to remember that lots of people travel East on holidays and if you do you will need the standard typhoid; yellow fever; etc. Children need to have been vaccinated against TB before they can start school. In the UK they no longer give BCG so important to get that done before you come.	1
I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	As I said; the official advice is that you don't HAVE to; however; they may offer you Rabies; Typhoid and Hep B as an option. As they no longer boost Tetanus as routine; you would have to have a booster before coming. That said; the UK has a vey hands off approach to immunisation at the moment as most diseases are sufficiently covered by herd immunity (where because the majority have been vaccinated the people who haven't are covered to a large extent) and cases are low. Personally as long as there is a low risk; I would have all the vaccinations I could; why not?	1
I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.	"""We came from here from the US and had Hep A; Typhoid; and Tdap (combined Tetanus; Diptheria; Pertussis) on top of the usual program. The Hep A was a two dose one; given six months apart. We went to our local Kelsey-Seybold clinic there and were given an international certificate of vaccination as approved by the World Health Organisation. *********** """"There's this thing called being so open-minded your brains drop out"""". - Richard Dawkins"""	1
I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	If they are 'banned'; as you suggest; then it obviously means that your are not allowed to bring them into Qatar.	0
I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	"""they are definitely banned in Qatar... so as LP said; how do you want to import something which is banned? Custom is not going to let them in... frankly speaking; for me it sounds a bit nonsense """"very well behaved people friendly pitbulls"""".. as for me; these two don't come together; it's EITHER """"very well behaved people friendly"""" or """"pitbulls"""".. sorry; eh?... hope your husband won't be able to figure out my real name and address.. :)"""	1
I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.	Yes you can bring it but be careful this kind of dog is very very very dangerous. Because I have one that my friend brought it to my last year from Kuwait. You can talk to Doha Airport to be sure about that.	0
What is the weather temperature like in Doha at the moment? I have been reading the Forum Topics about the need for heaters during the winter months. Am quite worried.	Between 90 - 80 Deg F	2
What is the weather temperature like in Doha at the moment? I have been reading the Forum Topics about the need for heaters during the winter months. Am quite worried.	i think your question is opposite of your explanation. anyhow; 30degree right now	2
