question	answer
is there any place i can find scented massage oils in qatar?	Yes. It is right behind Kahrama in the National area.
is there any place i can find scented massage oils in qatar?	It's called Naseem Al-Nadir. Right next to the Smartlink shop. You'll find the chinese salesgirls at affordable prices there.
is there any place i can find scented massage oils in qatar?	Try Both ;) I'am just trying to be helpful. On a serious note - Please go there. you'll find what you are looking for.
Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you	Boots Villagio stock Tea Tree Oil.
Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you	you can also get it in body shop in city center; i am buying mine there :-)
Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you	Villagio opposite to Virgin Megastore City center on 2nd floor before Mango Store Landmark Opposite to Zara....
Can someone please advise me my husband wants to get Tea Tree Oil pure in Doha? thank you	http://altmedicine.about.com/od/productalertsandrecalls/a/lavenderteatree.htm Watch out for man boobs though :o(
Can someone please tell me where can i find Garlic Oil in Qatar? i heard it is good for hairfall. dont know if its true or not but really want to try it. So help me guys!	I saw it at Megamart landmark long time ago they probably have the same at the same shop at the Center Mall
Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..	Dear 1st of all you need to get your RP done & then you can apply for your family visit visa; if approved; then you can convert your family tourist visa to visit visa
Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..	Hi Peylenzkie. If my info is not mistaken; you have to apply for RP 1st which takes 10 days or more; then after that; you need to apply your 1 wife to 1 year Family Visit Visa (spouse) which takes 10 days; then convert her Tourist visa to Family Visit Visa (needs Attested Marriage certificate) which takes 3 days. Then lastly; apply for her RP (10 days). So my advice; finish your RP first then apply for their RP later. Tourist visa is 30 days only; not extendable so they have to go out the country.
Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..	Please note after getting your RP you need NOC from hotel/sponsor of tourist visa for converting a tourist visa to family visit visa. This document is must.
Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..	Requirements for applying Visa for wife:- 1; copy of personal id or passport of the resident husband 2; Letter from husband's employer citing profession and salary 3; copy of attested marriage & child birth certificate 4; copy of wife valid passport For attestation & translation please contact sheen services as they are the best in Qatar who is very flexible; reliable with competitive price.http://sheenservices.com/contact-us.html- ph-44366147/55974495
Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..	First get a RP & QID that should take up to 3 months !!
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	MAXIMUM 6 MONTHS BROTHER AFTER THAT YOU HAVE TO EXIT FROM QATAR.
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	After 6 months you can get an extension also....
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	no extension for tourist visa i think...
